Time (UTC) (Dd-MMM-yyyy HH:mm:ss),Year,Latitude (Degrees East),Longitude (Degrees North),Temperature (Degrees Celsius),Salinity (practical salinity unit),Chlorophyll (Micrograms per Liter),Turbidity(Nephelometric Turbidity Units),Oxygen (millilitres O2 per liter),Significant wave height (meters),Wave from direction (Degrees clockwise from due north),Wave period (seconds),North surface currents (meters/second),East surface currents (meters/second)
3/23/2016,2016,38.963675,-76.446862,NaN,0.8,3,10.7,9.1,0.3,9.62E+01,4.9,-77.18,92.42
3/23/2016,2016,38.963667,-76.446875,NaN,NaN,1.9,NaN,NaN,0.1,1.56E+02,1.9,-77.21,92.48
3/23/2016,2016,38.96367,-76.44687,9.8,9.1,3.1,2.5,11.3,0.2,1.54E+02,2.1,-30.6,142.98
3/23/2016,2016,38.963677,-76.446867,9.6,9.2,3,2.3,11,0.1,1.64E+02,1.9,-45.59,136.59
3/23/2016,2016,38.963672,-76.446862,9.3,9.3,4.4,2.3,11,0.2,1.67E+02,2.1,-7.14,58.01
3/24/2016,2016,38.963672,-76.446868,9.1,9.4,4.7,2.3,10.9,0.2,1.70E+02,2,26.41,-16.98
3/24/2016,2016,38.96367,-76.44686,9.2,9.4,5.1,2.3,11.1,0.1,1.67E+02,2.2,4.44,-55.37
3/24/2016,2016,38.963665,-76.446863,9.1,9.4,6.5,2.3,11.4,0.1,1.65E+02,2.2,-24.51,-55.66
3/24/2016,2016,38.963672,-76.446863,9.3,9.3,8.3,2.1,11.2,0.1,163,2.2,-66.52,-58.11
3/24/2016,2016,38.963672,-76.446858,9.2,NaN,8.7,2.1,11.1,0.1,1.56E+02,2.1,-67.59,-71.33
3/24/2016,2016,38.963668,-76.446863,NaN,9.2,7.7,1.9,11,NaN,NaN,NaN,-73.3,-36.47
3/24/2016,2016,38.963677,-76.44686,9.3,9.1,8.1,1.9,NaN,0.1,1.64E+02,2.3,-74.52,5.61
3/24/2016,2016,38.963675,-76.446865,9.4,9.1,8.2,1.8,10.9,NaN,NaN,NaN,-56.2,54.87
3/24/2016,2016,38.963672,-76.446857,9.4,9,6.8,1.8,10.9,0.1,1.69E+02,2.2,-32.67,93.51
3/24/2016,2016,38.963673,-76.446862,9,9.3,6.5,1.9,11,NaN,NaN,NaN,-29.99,143.37
3/24/2016,2016,38.963673,-76.446868,8.6,9.6,5.4,2.2,10.9,0.2,1.64E+02,2.3,-35.64,127.87
3/24/2016,2016,38.96367,-76.446868,8.5,NaN,5.8,2.1,10.9,NaN,NaN,NaN,-47.38,66.77
3/24/2016,2016,38.963675,-76.446865,9.1,8.8,6.8,2.1,11.2,0.1,1.61E+02,2.6,-52.3,10.24
3/24/2016,2016,38.963672,-76.446868,9,9,4.5,1.8,11.2,0.2,1.74E+02,2.2,-27.38,-55.8
3/24/2016,2016,38.963667,-76.446858,9.5,8.6,2.3,1.7,11.2,0.2,1.79E+02,2.4,-40.48,-101.48
3/24/2016,2016,38.963672,-76.44686,9.4,9.1,2.1,1.8,11.1,0.2,1.87E+02,2.2,-59.73,-101.88
3/24/2016,2016,38.963667,-76.446858,9.7,9.2,1.9,1.8,11,0.2,1.68E+02,2.1,-58.44,-110.45
3/24/2016,2016,38.963667,-76.44687,10.1,9.3,1.8,1.9,11,0.2,1.84E+02,2.1,-26.69,-63.04
3/24/2016,2016,38.963675,-76.446862,9.9,9.6,2,2,10.9,0.1,1.98E+02,2,-82.09,-53.01
3/24/2016,2016,38.963678,-76.446872,9.7,9.6,2.8,2.1,11,0.2,1.83E+02,2,-66.46,-15.25
3/24/2016,2016,38.963675,-76.446865,9.4,9.7,3.5,2.1,11.1,NaN,NaN,NaN,-41.18,30.68
3/24/2016,2016,38.963677,-76.446863,9.5,10,4,1.9,11.2,0.3,1.68E+02,2,-114.5,78.58
3/24/2016,2016,38.9637,-76.446865,9.5,10,5,1.9,11.2,0.4,1.71E+02,2.3,-25.96,78.34
3/24/2016,2016,38.963695,-76.446865,9.5,9.9,6.3,1.8,11.2,0.4,1.67E+02,2.4,-35.24,18.72
3/25/2016,2016,38.963687,-76.44686,9.4,10,6.6,1.9,11.2,0.3,162,2.3,-24.1,-39.41
3/25/2016,2016,38.963693,-76.446862,9.3,10,6.8,2.3,11.1,0.3,1.69E+02,2.2,-27.15,-85.11
3/25/2016,2016,38.963687,-76.446862,9.3,10,7,2,11.1,0.5,1.62E+02,2.8,-60.95,-117.5
3/25/2016,2016,38.963698,-76.446857,NaN,10,7.6,2.5,11,0.5,1.70E+02,2.8,-28.97,-111.18
3/25/2016,2016,38.963698,-76.446858,9.4,9.9,7.5,3.1,10.9,0.6,1.64E+02,3,-3.03,-87.96
3/25/2016,2016,38.963693,-76.446865,9.4,8.5,7.4,3.7,10.8,0.5,1.66E+02,3.1,-24.63,-69.92
3/25/2016,2016,38.963695,-76.446868,9.3,8.2,9.4,5.5,10.7,0.6,1.68E+02,3.1,-29.18,-45.13
3/25/2016,2016,38.963693,-76.446873,9.1,7.2,10.8,4.5,10.7,0.6,1.64E+02,3,-81.03,-35
3/25/2016,2016,38.963688,-76.446875,9.1,9.6,9.5,3.2,10.6,0.4,1.64E+02,2.6,-57.63,-10.02
3/25/2016,2016,38.963695,-76.446868,9.1,10.1,8.2,2.3,10.7,0.5,170,2.6,-63.23,20.28
3/25/2016,2016,38.963693,-76.446862,9.1,10.1,7.7,2.2,10.7,0.4,167,2.5,-69.38,9.76
3/25/2016,2016,38.963692,-76.44685,9,10.1,9.7,2.2,10.7,0.4,1.67E+02,2.5,-42.89,11.62
3/25/2016,2016,38.96369,-76.446863,8.9,10.3,9.7,3.6,10.6,0.4,1.68E+02,2.4,-69.57,-73.78
3/25/2016,2016,38.963682,-76.446872,9,9.7,8.7,3.1,10.6,0.3,1.56E+02,2.4,-61.93,-105.55
3/25/2016,2016,38.963678,-76.446875,9.2,9.5,6.9,2.6,10.7,0.3,1.61E+02,2.3,-39.16,-134.58
3/25/2016,2016,38.963675,-76.446873,9.4,9.2,8.6,5.3,10.5,0.2,1.61E+02,2.3,-2.6,-148.98
3/25/2016,2016,38.963668,-76.446878,9.3,10.1,8.4,2.9,10.8,0.2,157,2.3,-43.46,-141.41
3/25/2016,2016,38.963663,-76.446875,9.5,10.1,6.7,3,10.9,0.1,1.53E+02,2.3,-64.33,-142.48
3/25/2016,2016,38.963663,-76.446875,10.6,9.9,3.3,4.3,10.7,0.1,162,2.4,-76.97,-60.48
3/25/2016,2016,38.96367,-76.446873,9.8,10,NaN,2.7,11.1,0.1,1.60E+02,2.2,-72.66,5.65
3/25/2016,2016,38.963667,-76.446867,10.3,10,8.6,4.2,11.2,0.1,1.81E+02,2.1,-43.7,50.95
3/25/2016,2016,38.963662,-76.446853,10.4,10.1,6.6,3.1,11,0.1,2.78E+02,1.7,-25.8,81.17
3/25/2016,2016,38.963652,-76.446838,9.7,10.4,8.9,2.7,10.9,0.2,3.37E+02,1.9,9.55,105.91
3/25/2016,2016,38.963642,-76.446838,9.4,10.5,10.8,2.6,10.9,0.3,3.21E+01,1.9,50.5,63.34
3/26/2016,2016,38.963637,-76.44684,9.4,10.7,10.4,2.5,10.8,0.2,4.04E+01,1.9,29.12,58.82
3/26/2016,2016,38.963637,-76.44684,9.7,10.3,10.4,2.5,10.8,0.2,1.41E+01,1.8,7.88,-6.83
3/26/2016,2016,38.96361,-76.446823,9.7,10.2,9.5,2.5,10.7,0.2,3.48E+02,2.1,22.31,-52.29
3/26/2016,2016,38.963608,-76.446818,9.6,10.3,10.6,2.9,10.4,0.2,3.20E+02,1.9,35.55,-111.9
3/26/2016,2016,38.96361,-76.446822,9.1,10.5,11,3.2,10.2,0.1,3.26E+01,1.7,-10.74,-125.02
3/26/2016,2016,38.963607,-76.44683,9.5,10.3,9,3.2,10.3,0.1,5.81E+01,1.8,-15.81,-88.94
3/26/2016,2016,38.963612,-76.446825,9.3,10.4,9.3,3.1,10.3,0.1,8.48E+01,2,-36.72,-29
3/26/2016,2016,38.963607,-76.446822,9.3,10.2,9.1,3.1,10,0.3,7.05E+01,2,-1.43,-3.85
3/26/2016,2016,38.963607,-76.446825,9.1,10.3,9.6,2.9,10.1,0.2,7.95E+01,2,-7.91,47.19
3/26/2016,2016,38.963608,-76.446823,NaN,10.3,9.7,2.6,10.2,0.2,6.26E+01,1.9,3.75,51.39
3/26/2016,2016,38.963625,-76.44681,9.1,10.3,10.4,2.7,10.2,0.2,7.58E+01,2.1,9.28,116.04
3/26/2016,2016,38.963618,-76.446832,9,10.4,11.8,2.6,10.3,0.2,7.57E+01,2.1,76.62,133.48
3/26/2016,2016,38.96361,-76.446833,8.5,8,12.7,4.1,10.5,0.3,8.64E+01,2.3,82.87,147.58
3/26/2016,2016,38.963627,-76.44683,8.4,10.2,10.1,3.4,10.1,0.3,8.12E+01,2.3,79.1,108.05
3/26/2016,2016,38.963615,-76.446832,8.6,9.9,8.8,3.4,10.1,0.3,7.35E+01,2.2,13.48,61.28
3/26/2016,2016,38.963612,-76.446837,8.8,9.9,6.4,3.2,10.2,0.2,7.83E+01,1.9,-4.79,23.42
3/26/2016,2016,38.963617,-76.446833,9.4,10,6.1,2.4,10.5,0.1,85,1.8,-0.2,-60.86
3/26/2016,2016,38.963615,-76.446838,9.5,10,5.5,2.5,10.5,0.1,2.49E+02,1.9,1.42,-84.29
3/26/2016,2016,38.963618,-76.446842,9.7,9.4,2.3,3.2,10.4,0.1,1.05E+02,6.2,-89.47,-8.85
3/26/2016,2016,38.96362,-76.44684,10.3,9.2,1.4,NaN,10.3,0.1,1.31E+02,2.2,-43.31,38.16
3/26/2016,2016,38.96363,-76.446845,10.5,8.6,1.9,3.3,10.4,0.1,1.69E+02,2,-2.99,66.6
3/26/2016,2016,38.963625,-76.446845,10.5,8.5,2.8,3.3,10.5,0.1,5.21E+01,2.1,19.73,102.24
3/26/2016,2016,38.963633,-76.446842,10.1,8.7,5.3,3.2,10.6,NaN,NaN,NaN,27.51,134.1
3/26/2016,2016,38.963633,-76.446832,10.3,8.5,6.8,3.3,10.6,0,1.83E+02,2.1,46.21,125.35
3/27/2016,2016,38.963652,-76.446837,9.8,8.4,4.7,3.2,10.4,0,1.08E+02,1.9,31.55,86.3
3/27/2016,2016,38.963643,-76.446832,9.7,8.8,5.1,2.9,10.7,0.1,214,2.3,31.45,28.83
3/27/2016,2016,38.963662,-76.446867,9.7,9,6.3,2.8,10.7,0.3,1.34E+02,1.9,-14.93,25.23
3/27/2016,2016,38.963662,-76.446862,9.7,9.1,6.5,2.8,10.7,0.3,1.44E+02,2.2,-36.88,1.31
3/27/2016,2016,38.963657,-76.446865,9.8,9.1,6.5,2.7,10.6,0.2,1.50E+02,2,-30.49,-35.1
3/27/2016,2016,38.963655,-76.44686,9.8,9.1,6,2.8,10.5,0.2,1.44E+02,1.9,-22.29,-51.97
3/27/2016,2016,38.963657,-76.446865,9.8,NaN,5.9,2.8,NaN,0.1,1.71E+02,1.9,-46.99,-31.01
3/27/2016,2016,38.963648,-76.446865,9.7,9.1,5.8,2.7,10.5,0.1,1.86E+02,1.9,-47.86,-27.34
3/27/2016,2016,38.963648,-76.446865,9.7,9.1,5.7,2.6,10.5,0.1,1.76E+02,2.3,-46.93,-1.69
3/27/2016,2016,38.963657,-76.446867,9.6,9.2,5.7,2.6,10.5,0.1,1.80E+02,2,-48.89,29.97
3/27/2016,2016,38.963655,-76.44686,9.5,9.3,7.1,2.5,10.5,NaN,NaN,NaN,-20.69,61.75
3/27/2016,2016,38.963657,-76.44686,9.5,9.4,7.5,2.4,10.5,0.1,1.16E+02,1.9,-27.05,78.03
3/27/2016,2016,38.963645,-76.446867,9.4,9.5,8.1,2.4,10.4,0.1,1.10E+02,1.8,-64.3,28.59
3/27/2016,2016,38.963647,-76.446865,9.5,9.6,8.9,2.4,NaN,0.1,7.44E+01,1.7,-17.32,-24.06
3/27/2016,2016,38.963645,-76.446863,9.7,9.5,8.7,2.2,10.5,0.1,6.93E+01,1.8,-27.04,-76.59
3/27/2016,2016,38.963632,-76.446862,9.5,9.5,10.8,2.4,10.6,0.1,68,1.7,-2.03,-110.41
3/27/2016,2016,38.963628,-76.446863,9.6,9.5,9.3,2.3,10.7,0.1,1.69E+02,1.9,-38.24,-127.76
3/27/2016,2016,38.963633,-76.446867,9.8,9.3,6.4,2.3,10.9,0.1,1.32E+02,2,-74.45,-145.12
3/27/2016,2016,38.963632,-76.446872,10.3,9.3,3.8,NaN,10.6,0.1,2.21E+02,2.1,-19.52,-95.27
3/27/2016,2016,38.963643,-76.446872,10,9.3,7.7,2.5,10.6,0.1,1.42E+02,1.8,-57.25,-109.64
3/27/2016,2016,38.963652,-76.446872,9.9,9.3,9.9,2.7,10.6,NaN,NaN,NaN,-72.18,-55.83
3/27/2016,2016,38.963657,-76.446875,9.9,9.1,11.6,2.9,10.6,0.1,1.20E+02,1.7,-117.4,5.96
3/27/2016,2016,38.963657,-76.44687,9.7,9.3,10.9,2.7,10.9,0.1,1.12E+02,1.7,-51.51,42.05
3/27/2016,2016,38.963662,-76.446862,9.7,9.4,10.3,2.4,11,0.1,1.12E+02,1.7,-26.54,100.18
3/28/2016,2016,38.963665,-76.446857,NaN,9.6,12.1,2.4,11,0.2,9.87E+01,1.8,-1.86,125.16
3/28/2016,2016,38.963658,-76.446863,9.6,9.3,9.2,2.6,10.8,0.2,9.81E+01,1.8,-1.46,88.86
3/28/2016,2016,38.963655,-76.44686,9.6,NaN,8.4,2.6,10.8,0.1,1.18E+02,1.9,-9.67,36.1
3/28/2016,2016,38.96365,-76.446868,9.6,9.3,8.6,2.6,NaN,0.1,9.28E+01,1.8,-17.68,5.48
3/28/2016,2016,38.963652,-76.446867,9.6,9.3,8.3,2.5,10.8,0.1,7.93E+01,1.7,-30.7,-31.18
3/28/2016,2016,38.963652,-76.446865,9.6,NaN,8,2.5,10.7,0.1,86,1.7,-20.22,-77.15
3/28/2016,2016,38.963648,-76.44687,9.6,NaN,7.9,2.5,10.7,0.1,8.07E+01,1.6,-32.01,-61.38
3/28/2016,2016,38.963648,-76.446867,9.5,9.4,8.7,2.5,10.6,0.1,1.14E+02,1.7,-54.03,-27.15
3/28/2016,2016,38.963643,-76.446868,9.5,9.3,7.6,2.4,10.5,0.1,1.03E+02,1.8,-63.74,-7.78
3/28/2016,2016,38.96365,-76.446862,9.5,NaN,7.8,2.5,NaN,0.1,1.01E+02,2,-38.83,31.75
3/28/2016,2016,38.963662,-76.446858,9.5,9.3,8.2,2.5,10.5,0,9.34E+01,2,-14.84,80.63
3/28/2016,2016,38.963652,-76.446855,9.5,9.3,8.2,NaN,10.4,NaN,NaN,NaN,-13.94,103.98
3/28/2016,2016,38.963653,-76.446855,9.5,9.3,11.2,2.6,10.5,0,8.57E+01,2,-12.59,114.3
3/28/2016,2016,38.96366,-76.44686,9.5,9.4,13.8,2.7,10.5,NaN,NaN,NaN,-35.02,89.93
3/28/2016,2016,38.963647,-76.44685,9.6,9.1,10,2.6,10.3,0.1,3.54E+02,1.6,-46.68,17.76
3/28/2016,2016,38.963645,-76.44686,10.2,9.1,NaN,2.4,10.3,0,1.02E+02,2.1,-39.19,-51
3/28/2016,2016,38.963643,-76.446862,10.6,9.2,2.7,2.4,10.4,0.1,1.82E+02,1.8,-22.22,-101.05
3/28/2016,2016,38.963638,-76.446822,10.2,9.3,5.5,2.5,10.9,0.2,3.02E+02,1.7,-46.1,-104.94
3/28/2016,2016,38.963618,-76.446785,10.3,9.3,5.7,2.4,10.6,0.3,3.08E+02,2,-20.87,-112.23
3/28/2016,2016,38.963608,-76.446745,10.2,9.5,7.5,3,10.4,0.5,308,2.4,-15.36,-68.9
3/28/2016,2016,38.963605,-76.446743,10.2,9.7,7.9,3.8,10.2,0.5,3.11E+02,2.5,18.33,-23.58
3/28/2016,2016,38.963635,-76.446743,10,10,9.6,5.3,10,0.4,3.17E+02,2.3,24.24,-19.35
3/28/2016,2016,38.963615,-76.44675,9.9,10.2,10.8,5.8,9.9,0.5,3.21E+02,2.4,-2.52,68.02
3/28/2016,2016,38.963627,-76.446755,9.8,10.4,12.2,4.9,10,0.4,3.19E+02,2.3,-36.5,83.65
3/29/2016,2016,38.963615,-76.446738,9.5,10.9,12,4.5,9.8,0.6,3.17E+02,2.7,-25.36,67.85
3/29/2016,2016,38.963623,-76.446745,9.3,11.2,12.8,4.1,9.6,0.4,320,2.3,6.13,90.79
3/29/2016,2016,38.963618,-76.446745,NaN,11.3,11.4,3.8,9.3,0.4,3.19E+02,2.3,-28.75,114.08
3/29/2016,2016,38.963615,-76.446755,9.3,NaN,10.9,4.1,9.2,0.3,3.23E+02,2.1,-11.26,58.59
3/29/2016,2016,38.963618,-76.446747,9.3,11.4,10.6,4,9.2,0.3,3.18E+02,1.8,19.53,-8.89
3/29/2016,2016,38.963605,-76.446757,9.7,10.4,8.7,4.8,9.5,0.2,3.31E+02,1.9,17.85,12.03
3/29/2016,2016,38.96361,-76.446753,NaN,10.6,9.1,4.6,9.4,0.3,3.18E+02,1.9,6.68,-15
3/29/2016,2016,38.9636,-76.446748,9.5,10.8,9.8,4.4,9.4,0.5,3.12E+02,2.3,-9.58,-79.66
3/29/2016,2016,38.963605,-76.446755,9.4,10.8,9.5,5.2,9.3,0.4,3.14E+02,2,-43.96,-63.07
3/29/2016,2016,38.963608,-76.446757,9.3,10.8,10.1,4.9,9.4,0.3,3.18E+02,1.9,-62.94,-24.76
3/29/2016,2016,38.96361,-76.446752,9.1,11,10.7,4.4,9.4,0.3,3.23E+02,2.1,-32.16,44.24
3/29/2016,2016,38.963612,-76.44675,9.1,11.1,11.4,4.2,9.4,0.3,3.24E+02,2.1,28.62,78.01
3/29/2016,2016,38.963615,-76.44675,9,11.2,11,4.1,9.5,0.3,325,1.9,66.55,79.96
3/29/2016,2016,38.963607,-76.44675,9.2,10.8,6.9,3.8,9.6,0.4,3.25E+02,2.4,55.22,139.48
3/29/2016,2016,38.963608,-76.446757,9.2,10.7,6.5,3.8,9.6,0.4,3.23E+02,2.2,23.7,64.85
3/29/2016,2016,38.96361,-76.446755,9.3,10.8,5.4,3.7,9.7,0.3,3.32E+02,2,38.69,-13.66
3/29/2016,2016,38.963603,-76.446758,9.4,10.7,4.9,3.5,9.8,0.3,3.31E+02,2,31.56,-19.79
3/29/2016,2016,38.963595,-76.446752,9.7,10.9,7.6,4,9.9,NaN,NaN,NaN,85.07,-71.29
3/29/2016,2016,38.9636,-76.446758,10.2,10.6,8.3,3.8,10,0.3,322,1.9,64.89,-31.3
3/29/2016,2016,38.9636,-76.446753,10.1,10.8,9,3.9,10,NaN,NaN,NaN,-11.24,-24.65
3/29/2016,2016,38.963603,-76.446748,9.8,11,9.9,3.8,9.9,0.3,3.20E+02,2,-24.31,-1.24
3/29/2016,2016,38.963598,-76.446767,9.9,11,10.2,3.7,10.1,NaN,NaN,NaN,-21.11,36.36
3/29/2016,2016,38.963603,-76.446762,9.9,11,11.3,3.6,10.2,0.3,3.30E+02,2.1,-6.87,75.29
3/29/2016,2016,38.963608,-76.446753,9.9,10.9,11.1,3.5,10.1,0.2,3.25E+02,1.9,-9.84,98.85
3/30/2016,2016,38.963613,-76.446752,9.8,10.9,10.2,3.4,NaN,0.2,337,1.8,48.33,104.64
3/30/2016,2016,38.963633,-76.446757,9.7,10.5,7.8,4,9.6,0.1,8.82E+01,2.2,-10.14,96.47
3/30/2016,2016,38.963642,-76.446768,9.6,10.1,7.8,4.1,9.7,0.1,1.48E+02,3.3,68.77,162.01
3/30/2016,2016,38.963637,-76.446763,9.5,10.1,8.1,4.6,9.8,0.1,9.82E+01,2.4,-1.36,77.99
3/30/2016,2016,38.963643,-76.44677,9.4,9.5,5.3,3.6,10,0.1,8.92E+01,2.1,33,108.43
3/30/2016,2016,38.963637,-76.446773,9.4,9.3,5.7,3.3,10,0.1,84,2,48.53,66.05
3/30/2016,2016,38.963622,-76.446805,9.5,9.6,6.2,3.3,9.9,0.2,8.26E+01,1.9,29.6,64.16
3/30/2016,2016,38.963617,-76.4468,9.4,9.5,6.1,3.2,9.9,0.2,9.26E+01,1.9,9.15,40.35
3/30/2016,2016,38.963618,-76.446807,9.3,9.4,5.9,3.1,10,NaN,NaN,NaN,-41.38,-16.7
3/30/2016,2016,38.963617,-76.446817,9.4,9.6,6,3.1,10,0.3,8.03E+01,1.9,-41.86,30.24
3/30/2016,2016,38.963613,-76.446812,9.4,9.8,6.5,3.1,9.9,0.3,8.42E+01,1.9,-38.51,26.81
3/30/2016,2016,38.963623,-76.44681,9.3,9.9,7.2,3.3,9.8,0.2,8.27E+01,1.8,-6.3,102.93
3/30/2016,2016,38.96363,-76.4468,9.5,9.8,7.8,3,9.9,0.1,8.89E+01,1.7,-10.98,105.14
3/30/2016,2016,38.963632,-76.446795,9.7,9.7,5.7,3,9.9,0.1,6.87E+01,1.8,25.25,89.17
3/30/2016,2016,38.963632,-76.446802,9.5,9.7,5.2,3.5,10,0.1,5.61E+01,1.8,20.76,107.53
3/30/2016,2016,38.963637,-76.446798,9.7,9.6,4.1,3.4,10,0.1,1.72E+02,1.7,-0.26,80.77
3/30/2016,2016,38.963633,-76.446792,9.8,9.5,5.3,3.5,10.1,0.1,1.83E+02,1.8,25.02,65.97
3/30/2016,2016,38.963648,-76.446783,9.9,9.4,4.6,3.4,10.1,0.2,1.69E+02,1.8,-15.34,25.85
3/30/2016,2016,38.963648,-76.44679,9.9,9.4,5.2,3.4,10.2,0.3,1.75E+02,2.1,-20.33,40.31
3/30/2016,2016,38.963667,-76.446797,10,9.4,5.8,3.6,10.2,0.3,1.78E+02,2.3,-30.54,16.63
3/30/2016,2016,38.963662,-76.446792,10.1,9.5,5.6,3.4,10.3,0.4,1.76E+02,2.5,-30.71,25.26
3/30/2016,2016,38.963675,-76.446793,10.1,9.5,5.5,3.4,NaN,0.5,1.68E+02,2.8,-23.08,45.24
3/30/2016,2016,38.963682,-76.446802,10.1,9.6,6.9,3.4,10.2,0.6,170,2.7,-23.16,71.65
3/30/2016,2016,38.963697,-76.446812,10,9.6,8.3,3.9,10.2,0.5,1.69E+02,2.7,-45.79,100.77
3/31/2016,2016,38.9637,-76.446812,NaN,9.7,7.4,3.5,10.1,0.6,173,2.6,-35.34,93.86
3/31/2016,2016,38.963697,-76.446808,9.9,9.8,7.3,4.3,10,0.5,1.65E+02,2.7,-47.44,74.77
3/31/2016,2016,38.963697,-76.446808,9.9,9.9,6.5,4.2,9.8,0.5,159,2.7,-60.67,51.74
3/31/2016,2016,38.963702,-76.446818,9.9,10.1,7.1,5.4,9.8,0.7,1.63E+02,3.1,-88.97,37.71
3/31/2016,2016,38.9637,-76.44682,9.8,10.1,7.6,5.3,9.8,0.6,1.59E+02,2.9,-102.2,-10.02
3/31/2016,2016,38.963697,-76.446825,9.8,10.1,7.4,5.7,9.7,0.6,1.58E+02,2.9,-70.15,-71.27
3/31/2016,2016,38.963688,-76.446825,9.8,9.9,7,7.1,9.9,0.5,1.58E+02,2.7,-70.35,-133.88
3/31/2016,2016,38.96369,-76.446823,NaN,9.8,7.6,7.5,9.9,0.5,1.63E+02,2.7,-75.58,-142.15
3/31/2016,2016,38.963683,-76.446827,9.8,9.8,8,8.3,9.9,0.5,1.65E+02,2.8,-53.88,-140.23
3/31/2016,2016,38.963688,-76.446822,10.2,9.9,8,12.2,9.8,0.5,1.63E+02,2.7,-38.98,-122.61
3/31/2016,2016,38.963692,-76.446823,10.2,9.9,7.4,15.4,9.8,0.6,1.67E+02,2.8,-61.36,-100.14
3/31/2016,2016,38.963682,-76.446823,10.1,9.9,8.1,13.4,9.8,0.5,1.70E+02,2.6,-86.19,-88.57
3/31/2016,2016,38.96369,-76.446823,10,9.9,8.1,11.3,NaN,0.4,1.70E+02,2.5,-81.06,-68.11
3/31/2016,2016,38.963685,-76.446815,10,10.1,8.9,9.4,9.8,0.5,1.69E+02,2.6,-80.79,-65.96
3/31/2016,2016,38.96369,-76.446808,10,10.1,10.1,8.6,9.8,0.5,1.64E+02,2.7,-66.72,-42
3/31/2016,2016,38.963692,-76.446817,NaN,8.6,11.1,7.8,9.8,0.5,1.63E+02,2.7,-43.84,-15.02
3/31/2016,2016,38.963683,-76.446822,10,10.4,12,5.7,10,NaN,NaN,NaN,-46.61,-38.93
3/31/2016,2016,38.963685,-76.446817,10.2,NaN,10.3,7,10,0.5,1.63E+02,2.7,-19.18,-61.42
3/31/2016,2016,38.963683,-76.44682,10.4,10.2,10,8.3,9.9,0.5,1.61E+02,2.7,-28.4,-114.56
3/31/2016,2016,38.963685,-76.446823,10.4,9.2,11.6,8.6,9.9,0.4,1.64E+02,2.7,-27.82,-134.97
3/31/2016,2016,38.963683,-76.446825,10.5,9.1,9.4,8.1,9.9,NaN,NaN,NaN,-26.66,-140.51
3/31/2016,2016,38.96368,-76.44683,10.6,7.8,10.2,8.3,10,0.3,1.66E+02,2.5,-24.28,-107.46
3/31/2016,2016,38.96368,-76.446822,10.6,7,10.9,7.8,10.1,0.4,1.73E+02,2.5,13.88,-78.06
3/31/2016,2016,38.963682,-76.446815,10.7,10.4,13.2,6.1,10.1,0.3,1.75E+02,2.5,11.68,-64.21
4/1/2016,2016,38.963687,-76.446815,10.6,10.4,11,5,9.9,0.3,174,2.4,-42.39,-44.29
4/1/2016,2016,38.96369,-76.44681,10.6,10.5,11.4,5.3,9.7,0.4,1.75E+02,2.5,-35.17,-13.43
4/1/2016,2016,38.963697,-76.446808,10.4,10.8,11,4.8,9.7,0.5,1.82E+02,2.6,-3.06,54.06
4/1/2016,2016,38.963705,-76.446805,10.3,11.1,11.9,4.4,9.8,0.5,1.85E+02,2.6,36.46,105.3
4/1/2016,2016,38.963697,-76.446817,10.2,11.3,10.2,3.9,9.9,0.5,166,2.8,-14.39,134.84
4/1/2016,2016,38.963697,-76.446817,10.1,11.3,10.8,3.9,9.8,0.5,1.61E+02,2.7,-38.6,51.42
4/1/2016,2016,38.9637,-76.446815,10.1,11.4,11.3,4.2,9.7,0.6,1.64E+02,2.7,-24.59,13.31
4/1/2016,2016,38.963688,-76.446815,10.2,11.3,10.9,4.3,9.8,0.4,1.68E+02,2.6,-40.74,-58.14
4/1/2016,2016,38.963683,-76.44682,10.2,11.3,10.5,6.1,9.7,0.5,1.69E+02,2.7,-40.52,-80.87
4/1/2016,2016,38.963695,-76.446812,10.2,11.3,11.4,NaN,9.6,0.4,1.75E+02,2.6,-53.29,-119.53
4/1/2016,2016,38.963682,-76.446815,10.4,11.1,11.3,4.6,9.5,NaN,NaN,NaN,-28.22,-66.59
4/1/2016,2016,38.963687,-76.446815,10.7,10.8,11,4.1,9.3,0.4,1.75E+02,2.6,-2.22,12.99
4/1/2016,2016,38.963697,-76.446818,10.7,NaN,11.2,4.2,9.3,0.4,174,2.5,-1.71,30.05
4/1/2016,2016,38.963687,-76.446817,10.6,11,12.2,4.5,9.4,0.4,1.81E+02,2.5,-26.59,21.61
4/1/2016,2016,38.963688,-76.446818,10.5,11.2,13.6,4.3,9.6,0.3,1.80E+02,2.2,-9.79,43.75
4/1/2016,2016,38.963688,-76.446808,10.5,11.1,13.8,4.8,9.6,0.3,1.74E+02,2.2,-10.86,54.56
4/1/2016,2016,38.963687,-76.446815,10.6,11.3,11.2,3.7,9.9,0.3,1.72E+02,2.2,-27.05,52.54
4/1/2016,2016,38.963688,-76.44681,10.7,11.5,11.1,3.4,9.9,0.3,1.69E+02,2.1,-10.84,40.84
4/1/2016,2016,38.963687,-76.446793,10.8,11.5,11.7,3.6,10,0.4,1.68E+02,2.4,-15.16,-41.25
4/1/2016,2016,38.96368,-76.44681,11,11.5,8.8,3.3,10.1,0.3,1.74E+02,2.4,11.96,-39.67
